Sygnatura czasowa,Jak często samodzielnie robisz zakupy spożywcze/codzienne?,W jakich sklepach najczęściej robisz codzienne zakupy? (wybierz maksymalnie 3 sklepy),Co zazwyczaj robisz z paragonem po zakupach?,Jak obecnie kontrolujesz swoje codzienne wydatki?,"Czy wiesz dokładnie, ile miesięcznie wydajesz na konkretne kategorie (np. jedzenie, chemia, rozrywka)?",Co najbardziej przeszkadza Ci w kontrolowaniu codziennych wydatków? (wybierz maksymalnie 3 opcje),Czy kiedykolwiek korzystałeś/aś z aplikacji lub narzędzia do śledzenia wydatków?,Jeśli przestałeś/aś — co było głównym powodem?,Czy w ciągu ostatnich 3 miesięcy szukałeś/aś jakiegokolwiek sposobu na lepszą kontrolę wydatków?,Gdybyś miał(a) pełny obraz swoich wydatków w jednym miejscu — co byś z tym zrobił(a)?,Jak bardzo obawiasz się o prywatność swoich danych zakupowych w aplikacji?,Jaka jest Twoja płeć?,W jakim jesteś wieku?,Jaki jest Twój obecny status zawodowy?
2026-04-10 00:24:53,Raz w tygodniu,"Biedronka, Lidl, Żabka",Wrzucam do portfela/torby i wyrzucam później,Sprawdzam konto bankowe,Mniej więcej,"Brak czasu na regularne śledzenie, Konieczność ręcznego wpisywania danych, Brak motywacji",Nie,,Nie,,"Trochę, zależy od zabezpieczeń",Mężczyzna,Poniżej 18 lat,Uczeń / student
2026-04-11 13:20:21,Raz w tygodniu,"Biedronka, Dino",Wrzucam do portfela/torby i wyrzucam później,W ogóle nie śledzę wydatków,Nie,Brak motywacji,Nie,,Nie,,Nie zastanawiałem/am się nad tym,Kobieta,Powyżej 45 lat,Pracujący
2026-04-11 13:32:37,Rzadziej niż raz w tygodniu,"Biedronka, Żabka, Dino",Trzymam przez jakiś czas,Sprawdzam konto bankowe,Mniej więcej,Gubienie paragonów,Nie,,Nie,Często kontrolowała ,"Trochę, zależy od zabezpieczeń",Kobieta,18 - 24 lata,Uczeń / student
2026-04-11 13:58:53,Raz w tygodniu,"Biedronka, Lidl, Dino",Trzymam przez jakiś czas,Sprawdzam konto bankowe,Mniej więcej,"Brak czasu na regularne śledzenie, Konieczność ręcznego wpisywania danych, Brak motywacji",Nie,,"Tak, czytałem/am artykuły",Lepiej zarządzałbym swoimi wydatkami,"Bardzo - nie chcę, aby ktoś widział moje zakupy",Mężczyzna,18 - 24 lata,Uczeń / student
2026-04-11 14:01:46,Kilka razy w tygodniu,"Biedronka, Dino",Wyrzucam od razu,Sprawdzam konto bankowe,Mniej więcej,Nie dotyczy - nie mam z tym problemu,Nie,,Nie,,Nie przeszkadza mi to,Mężczyzna,18 - 24 lata,Uczeń / student
2026-04-11 14:14:16,Kilka razy w tygodniu,"Biedronka, Carrefour, Lidl",Wrzucam do portfela/torby i wyrzucam później,Sprawdzam konto bankowe,Mniej więcej,"Brak czasu na regularne śledzenie, Brak motywacji",Nie,,"Tak, szukałem/am aplikacji","Przeanalizowałabym swoje wydatki, aby znaleźć obszary do oszczędności.",Nie przeszkadza mi to,Kobieta,18 - 24 lata,Osoba bezrobotna
2026-04-11 14:18:58,Raz w tygodniu,"Biedronka, Żabka, Delikatesy Centrum",Wrzucam do portfela/torby i wyrzucam później,Sprawdzam konto bankowe,Mniej więcej,Brak motywacji,"Tak, ale przestałem/am",,Nie,,"Trochę, zależy od zabezpieczeń",Kobieta,25 - 34 lata,Pracujący
2026-04-11 14:18:59,Codzienne lub prawie codziennie,"Biedronka, Kaufland, Lidl",Wyrzucam od razu,Liczę w pamięci,Nie,"Brak czasu na regularne śledzenie, Konieczność ręcznego wpisywania danych, Brak motywacji",Nie,,Nie,,Nie przeszkadza mi to,Kobieta,18 - 24 lata,Uczeń / student
2026-04-11 14:23:31,Rzadziej niż raz w tygodniu,"Biedronka, Lidl, Żabka",Odmawiam paragonu/biorę e-paragon,Sprawdzam konto bankowe,Nie,"Zerkam na konto, ale nie mam potrzeby skrupulatnego pilnowania ",Nie,,Nie,Jeśli by mogło to być automatyczne bez większej moje ingerencji to może bym zaoszczędziła na czyms,Nie zastanawiałem/am się nad tym,Mężczyzna,18 - 24 lata,Osoba bezrobotna
2026-04-11 14:26:13,Codzienne lub prawie codziennie,"Biedronka, Osiedlowy sklepik",Wrzucam do portfela/torby i wyrzucam później,Liczę w pamięci,Mniej więcej,Nie dotyczy - nie mam z tym problemu,Nie,,"Tak, szukałem/am aplikacji",,"Bardzo - nie chcę, aby ktoś widział moje zakupy",Kobieta,Powyżej 45 lat,Pracujący
2026-04-11 14:39:48,Kilka razy w tygodniu,"Carrefour, Lidl, Aldi",Wrzucam do portfela/torby i wyrzucam później,Zapisuję na kartce,Mniej więcej,"Brak czasu na regularne śledzenie, Konieczność ręcznego wpisywania danych, Zapominam",Nie,,Nie,Mogłabym zobaczyć na co wydaje niepotrzebnie pieniądze,Nie przeszkadza mi to,Kobieta,18 - 24 lata,Uczeń / student
2026-04-11 14:39:51,Codzienne lub prawie codziennie,"Biedronka, Auchan, GS ",Wrzucam do portfela/torby i wyrzucam później,Sprawdzam konto bankowe,Tak,Brak motywacji,Nie,,"Tak, szukałem/am aplikacji",przeanalizował ,Nie przeszkadza mi to,Mężczyzna,18 - 24 lata,Uczeń / student
2026-04-11 14:40:39,Kilka razy w tygodniu,"Biedronka, Żabka, Dino",Wyrzucam od razu,Sprawdzam konto bankowe,Mniej więcej,"Brak czasu na regularne śledzenie, Trudność w kategoryzacji wydatków",Nie,,Nie,,Nie przeszkadza mi to,Kobieta,18 - 24 lata,Uczeń / student
2026-04-11 14:48:08,Codzienne lub prawie codziennie,"Biedronka, Dino, Jakies no name",Odmawiam paragonu/biorę e-paragon,Aplikacja finansowa,Tak,Nie dotyczy - nie mam z tym problemu,"Tak, korzystam aktualnie",,Nie,,"Trochę, zależy od zabezpieczeń",Inna / Wolę nie podawać,18 - 24 lata,Pracujący student
2026-04-11 14:48:21,Kilka razy w tygodniu,"Biedronka, Lidl, Dino",Wyrzucam od razu,Sprawdzam konto bankowe,Mniej więcej,"Brak czasu na regularne śledzenie, Brak motywacji",Nie,,Nie,,Nie zastanawiałem/am się nad tym,Mężczyzna,18 - 24 lata,Uczeń / student
2026-04-11 14:55:07,Raz w tygodniu,"Biedronka, Lidl, Żabka",Wyrzucam od razu,Sprawdzam konto bankowe,Mniej więcej,"Brak czasu na regularne śledzenie, Konieczność ręcznego wpisywania danych, Brak motywacji","Tak, ale przestałem/am",Ciężkość w wpisywaniu danych w excela,"Tak, szukałem/am aplikacji",Bardziej analizował i kontrolował swoje wydatki,Nie przeszkadza mi to,Mężczyzna,18 - 24 lata,Pracujący student
2026-04-11 14:56:36,Kilka razy w tygodniu,Biedronka,Wyrzucam od razu,Sprawdzam konto bankowe,Mniej więcej,"Trudność w kategoryzacji wydatków, Brak motywacji",Nie,,Nie,,"Trochę, zależy od zabezpieczeń",Mężczyzna,18 - 24 lata,Uczeń / student
2026-04-11 14:58:55,Kilka razy w tygodniu,"Biedronka, Leclerc",Wrzucam do portfela/torby i wyrzucam później,Sprawdzam konto bankowe,Mniej więcej,"Brak motywacji, Nie chce mi się",Nie,,Nie,,Nie przeszkadza mi to,Mężczyzna,18 - 24 lata,Uczeń / student
2026-04-11 15:02:09,Kilka razy w tygodniu,"Biedronka, Lidl, Dino",Wrzucam do portfela/torby i wyrzucam później,Liczę w pamięci,Tak,Brak czasu na regularne śledzenie,"Tak, ale przestałem/am",Dzieci - brak wolnego czasu ,Nie,,Nie przeszkadza mi to,Kobieta,25 - 34 lata,Osoba bezrobotna
2026-04-11 15:10:30,Kilka razy w tygodniu,"Biedronka, Lidl, Żabka",Wyrzucam od razu,Sprawdzam konto bankowe,Nie,Nie dotyczy - nie mam z tym problemu,Nie,,Nie,pewnie bym płakała że tyle wydaje ,Nie przeszkadza mi to,Kobieta,18 - 24 lata,Pracujący student
2026-04-11 15:12:17,Kilka razy w tygodniu,"Biedronka, Żabka, Dino",Trzymam przez jakiś czas,Sprawdzam konto bankowe,Tak,Brak czasu na regularne śledzenie,Nie,,Nie,Złapałbym się za głowę,Nie przeszkadza mi to,Mężczyzna,18 - 24 lata,Uczeń / student
2026-04-11 15:12:54,Codzienne lub prawie codziennie,Biedronka,Wrzucam do portfela/torby i wyrzucam później,Sprawdzam konto bankowe,Nie,"Brak czasu na regularne śledzenie, Trudność w kategoryzacji wydatków, Brak motywacji",Nie,,Nie,Możliwe że zaczęłabym oszczędzać :)),Nie zastanawiałem/am się nad tym,Kobieta,18 - 24 lata,Uczeń / student
2026-04-11 15:15:40,Codzienne lub prawie codziennie,Kaufland,Trzymam przez jakiś czas,Sprawdzam konto bankowe,Mniej więcej,Trudność w kategoryzacji wydatków,"Tak, ale przestałem/am",Nie,"Tak, szukałem/am aplikacji",Tu,"Bardzo - nie chcę, aby ktoś widział moje zakupy",Mężczyzna,Powyżej 45 lat,Uczeń / student
2026-04-11 15:15:59,Kilka razy w tygodniu,"Biedronka, Żabka, Dino",Wrzucam do portfela/torby i wyrzucam później,Sprawdzam konto bankowe,Mniej więcej,"Gubienie paragonów, Brak motywacji",Nie,,Nie,lepiej zarządzałbym budżetem ,Nie zastanawiałem/am się nad tym,Kobieta,18 - 24 lata,Pracujący student
2026-04-11 15:17:33,Nie robię zakupów samodzielnie,Sexschop tylko,Wyrzucam od razu,Liczę w pamięci,Nie,Nie dotyczy - nie mam z tym problemu,Nie,Brak ,Nie,Nic ,Nie przeszkadza mi to,,,
2026-04-11 15:18:45,Codzienne lub prawie codziennie,"Biedronka, Lidl, Dino",Odmawiam paragonu/biorę e-paragon,Sprawdzam konto bankowe,Mniej więcej,"Konieczność ręcznego wpisywania danych, Brak motywacji","Tak, ale przestałem/am",Brak motywacji ,Nie,Ciężko powiedzieć ,Nie przeszkadza mi to,Mężczyzna,18 - 24 lata,Uczeń / student
2026-04-11 15:26:14,Kilka razy w tygodniu,"Biedronka, Żabka",Wyrzucam od razu,Sprawdzam konto bankowe,Tak,"Brak czasu na regularne śledzenie, Trudność w kategoryzacji wydatków, Brak motywacji",Nie,,"Tak, czytałem/am artykuły",,Nie zastanawiałem/am się nad tym,Mężczyzna,18 - 24 lata,Pracujący
2026-04-11 15:32:47,Rzadziej niż raz w tygodniu,"Biedronka, sporzywczaki",Wrzucam do portfela/torby i wyrzucam później,W ogóle nie śledzę wydatków,Mniej więcej,Nie dotyczy - nie mam z tym problemu,Nie,,Nie,nic,Nie zastanawiałem/am się nad tym,Mężczyzna,Poniżej 18 lat,Uczeń / student
2026-04-11 15:51:55,Codzienne lub prawie codziennie,"Biedronka, Kaufland, Lidl",Wrzucam do portfela/torby i wyrzucam później,Aplikacja finansowa,Mniej więcej,Nie dotyczy - nie mam z tym problemu,"Tak, korzystam aktualnie",,Nie,,"Bardzo - nie chcę, aby ktoś widział moje zakupy",Kobieta,18 - 24 lata,Uczeń / student
2026-04-11 15:58:07,Rzadziej niż raz w tygodniu,"Biedronka, Kaufland, Lidl",Wyrzucam od razu,Sprawdzam konto bankowe,Mniej więcej,Nie dotyczy - nie mam z tym problemu,Nie,,Nie,,Nie zastanawiałem/am się nad tym,Mężczyzna,18 - 24 lata,Uczeń / student
2026-04-11 16:00:28,Kilka razy w tygodniu,"Biedronka, Lidl, Dino",Trzymam przez jakiś czas,W ogóle nie śledzę wydatków,Tak,"Brak czasu na regularne śledzenie, Trudność w kategoryzacji wydatków, Brak motywacji",Nie,,Nie,Korzystała bym z tego,Nie zastanawiałem/am się nad tym,Kobieta,Powyżej 45 lat,Pracujący
2026-04-11 16:05:39,Kilka razy w tygodniu,"Biedronka, Kaufland",Wyrzucam od razu,Sprawdzam konto bankowe,Mniej więcej,"Konieczność ręcznego wpisywania danych, Trudność w kategoryzacji wydatków","Tak, ale przestałem/am","Niewygodne sposoby wprowadzania danych, błędne ceny, brak możliwości podkreślenia promocji","Tak, czytałem/am artykuły","Obciąłbym finanse na wydatki błache i impulsywne, nad czym pracuję",Nie przeszkadza mi to,Mężczyzna,25 - 34 lata,Pracujący
2026-04-11 16:06:34,Kilka razy w tygodniu,"Biedronka, Żabka",Wyrzucam od razu,Sprawdzam konto bankowe,Mniej więcej,Nie dotyczy - nie mam z tym problemu,Nie,,Nie,,Nie przeszkadza mi to,Kobieta,18 - 24 lata,Uczeń / student
2026-04-11 16:49:27,Kilka razy w tygodniu,"Lidl, ",Trzymam przez jakiś czas,W ogóle nie śledzę wydatków,Mniej więcej,Brak czasu na regularne śledzenie,Nie,,Nie,,Nie zastanawiałem/am się nad tym,Mężczyzna,Powyżej 45 lat,Pracujący
2026-04-11 16:56:00,Kilka razy w tygodniu,"Biedronka, Kaufland, Lidl",Wyrzucam od razu,Sprawdzam konto bankowe,Mniej więcej,Trudność w kategoryzacji wydatków,Nie,,Nie,,"Bardzo - nie chcę, aby ktoś widział moje zakupy",Kobieta,18 - 24 lata,Uczeń / student
2026-04-11 17:15:58,Kilka razy w tygodniu,"Biedronka, Lidl, Żabka",Wrzucam do portfela/torby i wyrzucam później,Liczę w pamięci,Mniej więcej,"Gubienie paragonów, Brak motywacji",Nie,,Nie,Zacząłbym bym lepiej rozporządzać swoim comiesięcznym budżetem,"Bardzo - nie chcę, aby ktoś widział moje zakupy",Mężczyzna,18 - 24 lata,Uczeń / student
2026-04-11 19:12:02,Codzienne lub prawie codziennie,"Biedronka, Żabka, Dino",Wyrzucam od razu,Sprawdzam konto bankowe,Tak,Brak czasu na regularne śledzenie,Nie,,Nie,,Nie przeszkadza mi to,Mężczyzna,18 - 24 lata,Pracujący
2026-04-11 19:23:28,Raz w tygodniu,"Biedronka, Kaufland",Trzymam przez jakiś czas,Sprawdzam konto bankowe,Mniej więcej,Nie dotyczy - nie mam z tym problemu,Nie,,Nie,"to samo co aktualnie, śledziłbym wydatki żeby za dużo nie wydawać i aby zostawało mi co miesiąc konkretna ilość oszczędności",Nie przeszkadza mi to,Mężczyzna,18 - 24 lata,Uczeń / student
2026-04-11 21:45:36,Raz w tygodniu,"Biedronka, Kaufland, Dino",Wyrzucam od razu,Liczę w pamięci,Mniej więcej,Brak motywacji,Nie,,Nie,ustawiał sobie limity na daną kategorię,"Trochę, zależy od zabezpieczeń",Mężczyzna,25 - 34 lata,Pracujący student
2026-04-11 23:20:52,Codzienne lub prawie codziennie,"Kaufland, Lidl",Wyrzucam od razu,Liczę w pamięci,Mniej więcej,"Brak czasu na regularne śledzenie, Trudność w kategoryzacji wydatków, Brak motywacji","Tak, ale przestałem/am",,Nie,,Nie zastanawiałem/am się nad tym,Mężczyzna,18 - 24 lata,Uczeń / student
2026-04-12 10:46:54,Kilka razy w tygodniu,"Biedronka, Lidl, Żabka",Wrzucam do portfela/torby i wyrzucam później,Sprawdzam konto bankowe,Mniej więcej,"Brak czasu na regularne śledzenie, Konieczność ręcznego wpisywania danych, Trudność w kategoryzacji wydatków","Tak, ale przestałem/am",Lenistwo,Nie,NIC,"Bardzo - nie chcę, aby ktoś widział moje zakupy",Mężczyzna,18 - 24 lata,Uczeń / student
2026-04-12 11:16:37,Codzienne lub prawie codziennie,"Biedronka, Lidl, Netto",Wyrzucam od razu,W ogóle nie śledzę wydatków,Tak,Nie dotyczy - nie mam z tym problemu,Nie,,Nie,,Nie przeszkadza mi to,Mężczyzna,25 - 34 lata,Pracujący
2026-04-12 11:28:03,Codzienne lub prawie codziennie,Biedronka,Wyrzucam od razu,Sprawdzam konto bankowe,Nie,Brak motywacji,Nie,,Nie,,"Trochę, zależy od zabezpieczeń",Mężczyzna,18 - 24 lata,Pracujący student
2026-04-12 11:32:18,Kilka razy w tygodniu,"Biedronka, Lidl",Wrzucam do portfela/torby i wyrzucam później,Zapisuję na kartce,Mniej więcej,"Brak czasu na regularne śledzenie, Konieczność ręcznego wpisywania danych",Nie,,Nie,Byłabym zszokowana ,Nie przeszkadza mi to,Kobieta,18 - 24 lata,Uczeń / student
2026-04-12 11:32:40,Kilka razy w tygodniu,"Biedronka, Lidl",Wyrzucam od razu,W ogóle nie śledzę wydatków,Mniej więcej,"Brak czasu na regularne śledzenie, Konieczność ręcznego wpisywania danych",Nie,,Nie,Zdołowałabym się,Nie przeszkadza mi to,Kobieta,18 - 24 lata,Uczeń / student
2026-04-12 11:50:00,Raz w tygodniu,"Biedronka, Lidl, Żabka",Wrzucam do portfela/torby i wyrzucam później,W ogóle nie śledzę wydatków,Nie,"Brak czasu na regularne śledzenie, Konieczność ręcznego wpisywania danych, Trudność w kategoryzacji wydatków",Nie,,Nie,,"Trochę, zależy od zabezpieczeń",Mężczyzna,18 - 24 lata,Uczeń / student
2026-04-12 13:36:42,Nie robię zakupów samodzielnie,"Kaufland, Lidl, aldi",Trzymam przez jakiś czas,W ogóle nie śledzę wydatków,Nie,wydaje na tyle malo ze nie ma co sledzic,Nie,,Nie,,Nie przeszkadza mi to,,,
2026-04-12 14:30:16,Kilka razy w tygodniu,"Biedronka, Kaufland, Selgros ",Wrzucam do portfela/torby i wyrzucam później,Arkusz kalkulacyjny,Mniej więcej,"Konieczność ręcznego wpisywania danych, Trudność w kategoryzacji wydatków",Nie,. ,Nie,Łatwiej bym się połapał z czym na co wydaje ,"Trochę, zależy od zabezpieczeń",Mężczyzna,18 - 24 lata,Pracujący student
2026-04-12 22:32:17,Kilka razy w tygodniu,"Biedronka, Kaufland, Lidl",Wrzucam do portfela/torby i wyrzucam później,Liczę w pamięci,Mniej więcej,Brak czasu na regularne śledzenie,Nie,,Nie,,Nie przeszkadza mi to,Mężczyzna,25 - 34 lata,Pracujący
2026-04-14 15:55:25,Raz w tygodniu,"Biedronka, Kaufland, Dino",Wrzucam do portfela/torby i wyrzucam później,Arkusz kalkulacyjny,Tak,Nie dotyczy - nie mam z tym problemu,Nie,,Nie,,"Bardzo - nie chcę, aby ktoś widział moje zakupy",Kobieta,25 - 34 lata,Pracujący
2026-04-14 18:18:15,Codzienne lub prawie codziennie,"Kaufland, Lidl, polo",Wyrzucam od razu,Sprawdzam konto bankowe,Nie,"Brak czasu na regularne śledzenie, Brak motywacji",Nie,,Nie,bym się ucieszyła ,Nie zastanawiałem/am się nad tym,Kobieta,18 - 24 lata,Uczeń / student
2026-04-14 18:18:53,Kilka razy w tygodniu,"Biedronka, Lidl",Wrzucam do portfela/torby i wyrzucam później,Sprawdzam konto bankowe,Tak,Nie dotyczy - nie mam z tym problemu,Nie,,Nie,,"Bardzo - nie chcę, aby ktoś widział moje zakupy",Mężczyzna,18 - 24 lata,Osoba bezrobotna
2026-04-14 18:21:26,Kilka razy w tygodniu,"Biedronka, Dino, Stokrotka ",Wrzucam do portfela/torby i wyrzucam później,Liczę w pamięci,Mniej więcej,"Trudność w kategoryzacji wydatków, Brak motywacji",Nie,,Nie,,"Trochę, zależy od zabezpieczeń",Kobieta,18 - 24 lata,Uczeń / student
2026-04-14 18:22:08,Kilka razy w tygodniu,Biedronka,Odmawiam paragonu/biorę e-paragon,W ogóle nie śledzę wydatków,Nie,Brak czasu na regularne śledzenie,Nie,,Nie,Popłakałbym się jakbym zobaczyła ile wydaje ,Nie zastanawiałem/am się nad tym,Kobieta,18 - 24 lata,Uczeń / student
2026-04-14 22:02:15,Kilka razy w tygodniu,"Biedronka, Lidl, Żabka",Wrzucam do portfela/torby i wyrzucam później,Liczę w pamięci,Mniej więcej,"Brak czasu na regularne śledzenie, Konieczność ręcznego wpisywania danych, Brak motywacji",Nie,,Nie,Może więcej zaoszczędzę ,Nie przeszkadza mi to,Kobieta,25 - 34 lata,Pracujący
2026-04-18 14:02:00,Codzienne lub prawie codziennie,"Biedronka, Kaufland, Carrefour",Wyrzucam od razu,Sprawdzam konto bankowe,Mniej więcej,Nie dotyczy - nie mam z tym problemu,Nie,,Nie,,Nie przeszkadza mi to,Mężczyzna,Poniżej 18 lat,Uczeń / student
2026-04-21 18:34:56,Raz w tygodniu,Dino,Wrzucam do portfela/torby i wyrzucam później,Zapisuję na kartce,Tak,Trudność w kategoryzacji wydatków,Nie,,"Tak, czytałem/am artykuły",,"Trochę, zależy od zabezpieczeń",Mężczyzna,18 - 24 lata,Uczeń / student
